household_id,segment_tier,persona_tag,office_location,tenure_years,policy_count,lines_count,bundled_flag,home_flag,auto_flag,umbrella_flag,primary_carrier,secondary_carrier,account_round_opportunity_flag_home,account_round_opportunity_flag_auto,account_round_opportunity_flag_umbrella  ,multiple_carrier_flag,bundle_opportunity_flag,written_premium_total,earned_premium_ytd,commission_rate_pct,renewal_date,escrow_flag,auto_pay_flag,auto_premium,home_premium,year_built,roof_age_years,roof_upgrade_flag,water_backup_limit,service_line_coverage_limit,equipment_breakdown_flag,roof_surfacing_loss_settlement,refrigerated_products_flag,key_fob_replacement_flag,pet_injury_flag,seepage_leakage_coverage_flag,bundle_discount_flag,eft,pay_in_full,paperless,multicar,safe_driver,alarm,service_touches_12m,avg_minutes_per_touch,remarkets_12m,est_minutes_per_remarket,claims_open_count,claims_closed_12m,retained_last_term_flag,churn_risk_score_0_1,data_confidence,last_reviewed_date,remarket_reason,service_channel
HH0061,Silver,Retiree,Portland,7.5,2,2,1,0,1,0,CarrierB,CarrierC,1,0,1,1,1,3700,3600,12,2024-10-12,1,1,1900,1800,1996,10,0,7000,3000,1,0,0,0,0,1,1,1,1,1,0,7,6,1,74,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0062,Bronze,Single,San Francisco,2.5,1,1,0,0,1,0,CarrierC,,0,0,1,1,1,2100,2050,10.3,2024-11-19,1,0,1200,850,2019,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,0,81,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0063,Gold,Young Family,Seattle,13,4,4,1,0,1,1,CarrierA,CarrierE,1,0,0,1,1,7800,7700,15.6,2024-12-30,1,1,3250,2700,1991,17,1,21000,4600,1,1,1,1,1,1,1,1,1,1,1,18,4,2,108,2,9,1,0.02,Measured,2025-09-01,Rate Increase,Phone,,
HH0064,Silver,Empty Nester,Portland,6.2,2,2,0,1,1,0,CarrierE,CarrierD,1,0,1,0,0,3900,3800,11.2,2024-12-28,0,1,2150,1700,2002,11,0,8200,2100,0,1,0,0,0,1,1,0,1,0,1,8,4,1,71,0,1,1,0.17,Assumed,2025-08-12,UW Doc,Phone,,
HH0065,Bronze,Student,San Francisco,3.2,1,1,0,1,1,0,CarrierD,,0,0,1,1,1,1850,1780,10.7,2025-01-16,0,0,950,900,2020,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,1,84,0,0,1,0.18,Estimated,2025-07-30,Appetite Change,Portal,,
HH0066,Gold,Young Family,Seattle,10,3,3,1,0,1,1,CarrierA,CarrierC,1,0,0,1,1,4950,4800,14.8,2025-02-25,1,1,2660,2250,2004,8,0,12500,4200,1,1,0,1,1,0,1,1,1,1,1,14,5,2,95,1,6,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0067,Silver,Retiree,Portland,7.1,3,2,0,1,1,1,CarrierB,CarrierA,1,0,0,0,0,3820,3720,11.4,2025-03-02,0,1,1800,2000,1997,12,0,7400,1600,0,0,1,0,0,1,1,0,1,1,0,9,7,2,91,1,2,1,0.09,Estimated,2025-07-19,Carrier Exit,Email,,
HH0068,Bronze,Single,San Francisco,3.9,1,1,0,1,1,0,CarrierC,,0,0,1,1,1,2280,2180,10.1,2025-04-18,1,0,1350,900,2016,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,5,1,88,0,1,1,0.18,Assumed,2025-07-01,Price,Text,,
HH0069,Gold,Young Family,Seattle,8,3,3,1,1,0,1,CarrierA,CarrierD,1,1,0,0,0,4980,4870,14.5,2025-05-25,0,1,0,2350,2006,6,0,12500,4100,1,1,0,1,1,0,1,1,1,1,1,13,5,2,94,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0070,Silver,Retiree,Portland,6.8,2,2,0,1,1,0,CarrierB,CarrierC,1,0,1,0,0,3710,3600,12.2,2025-06-12,1,1,1900,1800,1996,9,0,7000,3000,1,0,0,0,0,1,1,1,1,1,0,7,5,1,73,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0071,Bronze,Single,San Francisco,2.1,1,1,0,1,1,0,CarrierC,,0,0,1,1,1,2150,2100,10.3,2025-07-19,1,0,1220,850,2019,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,80,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0072,Gold,Young Family,Seattle,12.3,4,4,1,0,1,1,CarrierA,CarrierE,1,0,0,1,1,7850,7750,15.8,2025-08-30,1,1,3300,2750,1990,17,1,21500,4700,1,1,1,1,1,1,1,1,1,1,1,19,4,2,110,2,8,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0073,Silver,Empty Nester,Portland,6.5,2,2,0,0,1,0,CarrierE,CarrierD,1,0,1,1,1,3950,3850,11.7,2025-07-28,0,1,2200,1750,2002,10,0,8300,2200,0,1,0,0,0,1,1,0,1,0,1,8,4,1,70,0,1,1,0.16,Assumed,2025-08-12,UW Doc,Phone,,
HH0074,Bronze,Student,San Francisco,3.8,1,1,0,0,0,0,CarrierD,,0,1,1,1,1,1880,1820,10.9,2025-08-16,0,0,0,920,2020,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,1,82,0,0,1,0.18,Estimated,2025-07-30,Appetite Change,Portal,,
HH0075,Gold,Young Family,Seattle,11,3,3,1,1,0,1,CarrierA,CarrierC,1,1,0,0,0,5020,4900,14.7,2025-09-25,1,1,0,2360,2004,9,0,12800,4300,1,1,0,1,1,0,1,1,1,1,1,14,5,2,98,1,6,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0076,Silver,Retiree,Portland,7.9,3,2,0,1,1,1,CarrierB,CarrierA,1,0,0,0,0,3830,3730,11.6,2025-10-02,0,1,1820,2030,1998,13,0,7500,1650,0,0,1,0,0,1,1,0,1,1,0,9,7,2,92,1,3,1,0.09,Estimated,2025-07-19,Carrier Exit,Email,,
HH0077,Bronze,Single,San Francisco,4,1,1,0,0,1,0,CarrierC,,0,0,1,1,1,2300,2250,10,2025-11-18,1,0,1380,930,2017,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,5,1,85,0,1,1,0.17,Assumed,2025-08-05,Price,Text,,
HH0078,Gold,Young Family,Seattle,8.2,3,3,1,1,1,1,CarrierA,CarrierD,1,0,0,0,0,5070,4970,14.2,2025-12-25,0,1,2670,2400,2006,7,0,12300,4200,1,1,0,1,1,0,1,1,1,1,1,13,5,2,95,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0079,Silver,Retiree,Portland,6.4,2,2,0,0,1,0,CarrierB,CarrierC,1,0,1,1,1,3720,3620,12.3,2025-11-12,1,1,1910,1810,1996,11,0,7100,3050,1,0,0,0,0,1,1,1,1,1,0,8,6,1,74,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0080,Bronze,Single,San Francisco,3.1,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2220,2170,10.8,2025-10-19,1,0,0,920,2015,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,6,1,82,0,1,1,0.18,Assumed,2025-08-15,Carrier Exit,Email,,
HH0081,Gold,Young Family,Seattle,9.8,3,3,1,0,0,1,CarrierA,CarrierE,1,1,0,1,1,5100,4980,14.5,2025-09-25,1,1,0,2400,2005,8,0,12100,4150,1,1,0,1,1,0,1,1,1,1,1,13,6,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0082,Silver,Retiree,Portland,7.3,2,2,1,0,0,0,CarrierB,CarrierD,1,1,1,1,1,3740,3640,12.1,2025-10-12,0,1,0,1820,1996,10,0,7200,3100,1,0,0,0,0,1,1,1,1,1,0,7,6,1,75,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0083,Bronze,Single,San Francisco,2.6,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2130,2080,10.2,2025-11-19,1,0,0,860,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,80,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0084,Gold,Young Family,Seattle,12,4,4,1,1,1,1,CarrierA,CarrierC,1,0,0,0,0,7900,7800,15.7,2025-12-30,1,1,3320,2760,1990,16,1,21500,4750,1,1,1,1,1,1,1,1,1,1,1,19,4,2,110,2,8,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0085,Silver,Empty Nester,Portland,6.6,2,2,0,0,1,0,CarrierE,CarrierC,1,0,1,1,1,3950,3850,11.6,2025-11-28,0,1,2200,1780,2002,10,0,8300,2250,0,1,0,0,0,1,1,0,1,0,1,8,4,1,70,0,1,1,0.16,Assumed,2025-08-12,UW Doc,Phone,,
HH0086,Bronze,Student,San Francisco,3.4,1,1,0,1,1,0,CarrierD,,0,0,1,1,1,1890,1830,10.5,2025-10-16,0,0,975,930,2020,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,1,83,0,0,1,0.18,Estimated,2025-07-30,Appetite Change,Portal,,
HH0087,Gold,Young Family,Seattle,10.8,3,3,1,0,0,1,CarrierA,CarrierE,1,1,0,1,1,5090,4990,14.8,2025-09-25,1,1,0,2410,2004,9,0,12200,4300,1,1,0,1,1,0,1,1,1,1,1,13,5,2,97,1,5,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0088,Silver,Retiree,Portland,7.4,3,2,0,0,1,1,CarrierB,CarrierA,1,0,0,1,1,3760,3660,11.9,2025-10-02,0,1,1850,2050,1998,14,0,7300,1550,0,0,1,0,0,1,1,0,1,1,0,9,6,2,91,1,3,1,0.07,Estimated,2025-07-19,Carrier Exit,Email,,
HH0089,Bronze,Single,San Francisco,3.2,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2240,2190,10.9,2025-11-18,1,0,0,940,2015,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,5,1,84,0,1,1,0.18,Assumed,2025-08-05,Price,Text,,
HH0090,Gold,Young Family,Seattle,8.3,3,3,1,1,1,1,CarrierA,CarrierD,1,0,0,0,0,5110,5010,14.3,2025-12-25,0,1,2720,2420,2006,7,0,12400,4250,1,1,0,1,1,0,1,1,1,1,1,13,5,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0091,Silver,Retiree,Portland,6.7,2,2,0,0,0,0,CarrierB,CarrierC,1,1,1,1,1,3730,3630,12,2025-11-12,1,1,0,1820,1996,10,0,7200,3100,1,0,0,0,0,1,1,1,1,1,0,8,6,1,75,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0092,Bronze,Single,San Francisco,2.9,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2180,2130,10.4,2025-10-19,1,0,0,905,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,80,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0093,Gold,Young Family,Seattle,11.5,4,4,1,0,1,1,CarrierA,CarrierC,1,0,0,1,1,7930,7830,15.9,2025-12-30,1,1,3330,2780,1990,16,1,21600,4800,1,1,1,1,1,1,1,1,1,1,1,20,4,2,110,2,9,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0094,Silver,Empty Nester,Portland,6.8,2,2,0,0,1,0,CarrierE,CarrierD,1,0,1,1,1,3970,3870,11.8,2025-11-28,0,1,2220,1790,2002,10,0,8400,2300,0,1,0,0,0,1,1,0,1,0,1,9,4,1,71,0,1,1,0.16,Assumed,2025-08-12,UW Doc,Phone,,
HH0095,Bronze,Student,San Francisco,3.6,1,1,0,0,0,0,CarrierD,,0,1,1,1,1,1900,1840,10.6,2025-10-16,0,0,0,940,2020,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,1,83,0,0,1,0.18,Estimated,2025-07-30,Appetite Change,Portal,,
HH0096,Gold,Young Family,Seattle,11,3,3,1,1,0,1,CarrierA,CarrierE,1,1,0,0,0,5120,5020,14.9,2025-09-25,1,1,0,2430,2004,9,0,12300,4350,1,1,0,1,1,0,1,1,1,1,1,14,5,2,97,1,5,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0097,Silver,Retiree,Portland,7.5,3,2,0,1,1,1,CarrierB,CarrierA,1,0,0,0,0,3770,3670,11.7,2025-10-02,0,1,1870,2060,1998,14,0,7400,1600,0,0,1,0,0,1,1,0,1,1,0,9,6,2,92,1,3,1,0.08,Estimated,2025-07-19,Carrier Exit,Email,,
HH0098,Bronze,Single,San Francisco,3.3,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2260,2210,10.5,2025-11-18,1,0,0,960,2017,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,5,1,85,0,1,1,0.17,Assumed,2025-08-05,Price,Text,,
HH0099,Gold,Young Family,Seattle,8.6,3,3,1,1,1,1,CarrierA,CarrierD,1,0,0,0,0,5130,5030,14.3,2025-12-25,0,1,2740,2450,2006,7,0,12450,4300,1,1,0,1,1,0,1,1,1,1,1,13,5,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0100,Silver,Retiree,Portland,7,2,2,0,1,0,0,CarrierB,CarrierC,1,1,1,0,0,3740,3640,12.1,2025-11-12,1,1,0,1830,1996,10,0,7300,3100,1,0,0,0,0,1,1,1,1,1,0,8,6,1,75,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0151,Gold,Young Family,Seattle,7.3,3,3,1,1,1,1,CarrierA,CarrierC,1,0,0,0,0,5400,5250,13.1,2025-08-15,1,1,2700,2500,2008,5,0,13000,3600,1,1,1,0,1,1,1,0,1,1,0,12,5,2,94,1,4,1,0.08,Measured,2025-08-01,Rate Increase,Phone,,
HH0152,Silver,Retiree,Portland,8.9,3,2,0,0,0,1,CarrierB,CarrierA,1,1,0,1,1,3800,3700,11.4,2025-07-20,0,1,0,1600,1996,11,0,6000,1200,0,0,1,0,0,1,1,0,1,0,1,9,7,2,88,0,3,1,0.1,Estimated,2025-07-18,Appetite Change,Portal,,
HH0153,Bronze,Single,San Francisco,3.4,1,1,0,1,0,0,CarrierC,,0,1,1,1,1,2300,2250,10.5,2025-06-10,1,0,0,950,2017,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,6,1,82,0,0,1,0.18,Assumed,2025-07-02,Carrier Exit,Email,,
HH0154,Gold,Young Family,Seattle,6.5,2,3,1,1,1,0,CarrierA,CarrierB,1,0,1,0,0,5600,5475,13.5,2025-05-25,1,0,2600,3000,2010,4,0,15000,3900,1,0,1,1,1,1,1,1,1,1,14,5,2,90,1,4,1,0.07,Measured,2025-07-12,Price,Text,,,
HH0155,Silver,Empty Nester,Portland,4.7,2,2,0,0,1,0,CarrierE,CarrierD,1,0,1,1,1,4000,3900,11.8,2025-04-30,0,1,2250,1850,2003,10,0,8500,2100,0,1,0,0,0,1,1,0,1,0,1,8,4,1,76,0,1,1,0.15,Assumed,2025-07-05,UW Doc,Phone,,
HH0156,Bronze,Student,San Francisco,3.8,1,1,0,1,1,0,CarrierD,,0,0,1,1,1,1900,1850,10.9,2025-04-10,0,0,1000,950,2019,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,6,1,85,0,0,1,0.17,Estimated,2025-06-15,Appetite Change,Portal,,
HH0157,Gold,Young Family,Seattle,11.8,4,4,1,0,0,1,CarrierA,CarrierE,1,1,0,1,1,7800,7700,15.6,2025-03-20,1,1,0,2800,1992,15,1,20000,4500,1,1,1,1,1,1,1,1,1,1,1,18,5,3,100,2,8,1,0.03,Measured,2025-07-08,Rate Increase,Phone,,
HH0158,Silver,Retiree,Portland,8,3,2,0,1,0,1,CarrierB,CarrierC,1,1,0,0,0,4000,3900,12,2025-02-15,0,1,0,2100,1998,12,0,7500,1500,0,0,1,0,0,1,1,0,1,1,0,10,7,2,92,1,2,1,0.1,Estimated,2025-07-19,Carrier Exit,Email,,
HH0159,Bronze,Single,San Francisco,3.3,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2350,2300,10.7,2025-01-08,1,0,0,900,2015,8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,5,1,80,0,1,1,0.18,Assumed,2025-07-01,Price,Text,,
HH0160,Gold,Young Family,Seattle,9.4,3,3,1,0,1,1,CarrierA,CarrierD,1,0,0,1,1,5050,4950,14.7,2024-12-15,0,1,2750,2400,2005,7,0,12400,4200,1,1,0,1,1,0,1,1,1,1,1,13,6,2,96,1,5,1,0.05,Measured,2025-07-28,Rate Increase,Phone,,
HH0161,Silver,Retiree,Portland,7.8,2,2,1,0,1,0,CarrierB,CarrierC,1,0,1,1,1,3850,3750,12.2,2024-11-20,1,1,2000,1850,1996,9,0,7200,3000,1,0,0,0,0,1,1,1,1,1,0,8,6,1,77,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0162,Bronze,Single,San Francisco,2.9,1,1,0,0,1,0,CarrierC,,0,0,1,1,1,2200,2150,10.5,2024-10-19,1,0,1250,900,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,79,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0163,Gold,Young Family,Seattle,12,4,4,1,1,0,1,CarrierA,CarrierE,1,1,0,0,0,7900,7800,15.8,2024-09-30,1,1,0,2850,1991,17,1,21500,4800,1,1,1,1,1,1,1,1,1,1,1,19,4,2,110,2,8,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0164,Silver,Empty Nester,Portland,7,2,2,0,1,0,0,CarrierE,CarrierD,1,1,1,0,0,4100,4000,12,2024-08-28,0,1,0,1900,2002,11,0,8600,2300,0,1,0,0,0,1,1,0,1,0,1,9,4,1,72,0,1,1,0.14,Assumed,2025-08-12,UW Doc,Phone,,
HH0165,Bronze,Student,San Francisco,3.5,1,1,0,1,1,0,CarrierD,,0,0,1,1,1,1950,1900,10.6,2024-07-16,0,0,990,960,2020,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,1,83,0,0,1,0.17,Estimated,2025-07-30,Appetite Change,Portal,,
HH0166,Gold,Young Family,Seattle,10.1,3,3,1,0,0,1,CarrierA,CarrierC,1,1,0,1,1,5250,5150,14.9,2024-06-25,1,1,0,2450,2004,8,0,12700,4300,1,1,0,1,1,0,1,1,1,1,1,14,5,2,98,1,6,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0167,Silver,Retiree,Portland,7.2,3,2,0,0,1,1,CarrierB,CarrierA,1,0,0,1,1,3880,3780,11.8,2024-05-02,0,1,1900,2050,1997,12,0,7500,1600,0,0,1,0,0,1,1,0,1,1,0,10,7,2,91,1,3,1,0.09,Estimated,2025-07-19,Carrier Exit,Email,,
HH0168,Bronze,Single,San Francisco,3.7,1,1,0,0,0,0,CarrierC,,0,1,1,1,1,2320,2270,10.8,2024-04-18,1,0,0,920,2016,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8,5,1,87,0,1,1,0.18,Assumed,2025-07-01,Price,Text,,
HH0169,Gold,Young Family,Seattle,8.2,3,3,1,0,1,1,CarrierA,CarrierD,1,0,0,1,1,5100,5000,14.6,2024-03-25,0,1,2760,2450,2006,7,0,12450,4250,1,1,0,1,1,0,1,1,1,1,1,13,6,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0170,Silver,Retiree,Portland,6.5,2,2,0,1,1,0,CarrierB,CarrierC,1,0,1,0,0,3750,3650,12,2024-02-12,1,1,1950,1850,1996,10,0,7100,3000,1,0,0,0,0,1,1,1,1,1,0,8,6,1,75,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0171,Bronze,Single,San Francisco,2.8,1,1,0,1,1,0,CarrierC,,0,0,1,1,1,2250,2200,10.4,2024-01-19,1,0,1250,880,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,80,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0172,Gold,Young Family,Seattle,12,4,4,1,1,0,1,CarrierA,CarrierE,1,1,0,0,0,8000,7900,15.9,2023-12-30,1,1,0,2900,1990,16,1,21550,4850,1,1,1,1,1,1,1,1,1,1,1,20,4,2,110,2,9,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0173,Silver,Empty Nester,Portland,6.3,2,2,0,1,1,0,CarrierE,CarrierD,1,0,1,0,0,4050,3950,11.9,2023-11-28,0,1,2300,1920,2002,11,0,8600,2350,0,1,0,0,0,1,1,0,1,0,1,9,4,1,72,0,1,1,0.14,Assumed,2025-08-12,UW Doc,Phone,,
HH0174,Bronze,Student,San Francisco,3.9,1,1,0,0,1,0,CarrierD,,0,0,1,1,1,1950,1900,10.7,2023-10-16,0,0,1005,950,2020,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,1,84,0,0,1,0.17,Estimated,2025-07-30,Appetite Change,Portal,,
HH0175,Gold,Young Family,Seattle,10.7,3,3,1,1,1,1,CarrierA,CarrierC,1,0,0,0,0,5300,5200,15,2023-09-25,1,1,2850,2480,2004,8,0,12850,4350,1,1,0,1,1,0,1,1,1,1,1,14,5,2,99,1,6,1,0.04,Measured,2025-08-28,Rate Increase,Phone,,
HH0176,Silver,Retiree,Portland,7.6,3,2,0,0,1,1,CarrierB,CarrierA,1,0,0,1,1,3900,3800,11.8,2023-08-02,0,1,1850,2100,1998,13,0,7600,1700,0,0,1,0,0,1,1,0,1,1,0,11,7,2,93,1,3,1,0.1,Estimated,2025-07-19,Carrier Exit,Email,,
HH0177,Bronze,Single,San Francisco,3.1,1,1,0,1,1,0,CarrierC,,0,0,1,1,1,2250,2200,10.6,2023-07-18,1,0,1300,900,2017,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8,5,1,83,0,1,1,0.18,Assumed,2025-07-01,Price,Text,,
HH0178,Gold,Young Family,Seattle,8,3,3,1,1,0,1,CarrierA,CarrierD,1,1,0,0,0,5150,5050,14.5,2023-06-25,0,1,0,2420,2006,7,0,12400,4200,1,1,0,1,1,0,1,1,1,1,1,13,6,2,96,1,5,1,0.05,Measured,2025-08-28,Rate Increase,Phone,,
HH0179,Silver,Retiree,Portland,6.4,2,2,0,0,1,0,CarrierB,CarrierC,1,0,1,1,1,3750,3650,12.1,2023-05-12,1,1,1950,1850,1996,10,0,7200,3000,1,0,0,0,0,1,1,1,1,1,0,8,6,1,74,0,2,1,0.13,Measured,2025-07-14,Rate Increase,Portal,,
HH0180,Bronze,Single,San Francisco,2.8,1,1,0,1,1,0,CarrierC,,0,0,1,1,1,2200,2150,10.4,2023-04-19,1,0,1250,880,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0,80,0,0,1,0.15,Assumed,2025-08-15,Carrier Exit,Email,,
HH0181,Gold,Young Family,Seattle,12,4,4,1,1,0,1,CarrierA,CarrierE,1,1,0,0,0,8000,7900,15.8,2023-03-30,1,1,0,2900,1990,16,1,21500,4800,1,1,1,1,1,1,1,1,1,1,1,19,4,2,110,2,8,1,0.03,Measured,2025-09-01,Rate Increase,Phone,,
HH0182,Silver,Empty Nester,Portland,7,2,2,0,1,0,0,CarrierE,CarrierD,1,1,1,0,0,4050,3950,11.7,2023-02-28,0,1,0,1920,2002,11,0,8600,2350,0,1,0,0,0,1,1,0,1,0,1,9,4,1,72,0,1,1,0.14,Assumed,2025-08-12,UW Doc,Phone,,
HH0183,Bronze,Student,San Francisco,3.4,1,1,0,0,0,0,CarrierD,,0,1,1,1,1,1950,1900,10.5,2023-01-16,0,0,0,950,2020,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,1,83,0,0,1,0.17,Estimated,2025-07-30,Appetite Change,Portal,,
